Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,W6WLS,147.180000,+,0.600000,TSQL,94.8,94.8,023,NN,FM,5.00,,,,,,
2,ECE 2M,147.270000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
3,K6BJ,146.790000,-,0.600000,TSQL,94.8,94.8,023,NN,FM,5.00,,,,,,
4,KJ6FFP,146.945000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
5,WR6AOK,147.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
6,AB6VS,440.550000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
7,AE6KE,146.835000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
8,K6RMW,147.000000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
9,2MCALL,146.520000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
10,TAC10,146.535000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
11,TAC11,146.565000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
12,TAC12,147.420000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
13,TAC13,147.540000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
14,TAC14,147.555000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
15,TAC15,147.570000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
16,TAC 20,147.570000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
17,TAC21,446.500000,,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
18,W6TUW,145.290000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
19,W6SLG,145.310000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
20,KI6YDR,145.350000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
21,W6JWS2,146.745000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
22,W6JWS4,440.850000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
23,WB6ECE,441.300000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,P,,,,,
24,N6SBC,145.410000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
25,K6FB,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
26,K6JE,145.470000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
27,N6SBC,146.625000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
28,ABD 2M,146.640000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
29,WB6OQS,146.760000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
30,W6OPI,146.910000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
31,KI6PAU,146.940000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
32,K6LY,146.970000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
33,KI6PAU,146.940000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
34,N6SBC,147.315000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
35,W6GGF,147.825000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
