Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,W6HD,51.820000,-,1.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Paso Robles,,,,
2,WR6VHF,51.820000,-,1.000000,Tone,136.5,88.5,023,NN,FM,5.00,,"San Ardo, Williams Hill",,,,
3,N6SPD,145.370000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,"King City, Williams Hill",,,,
4,W6SLO,146.620000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Luis Obispo, Rocky Butte",,,,
5,W6SLO,146.670000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Luis Obispo, Tassajera Peak",,,,
6,W6FM,146.730000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Ardo, Williams Hill",,,,
7,W6SLO,146.800000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Luis Obispo, Cuesta Peak",,,,
8,W6SLO,146.860000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Los Osos,,,,
9,W6YDZ,146.880000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Templeton,,,,
10,KK6ATA,146.980000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Paso Robles,,,,
11,W6PRB,147.060000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Paso Robles,,,,
12,KC6TOX,147.270000,+,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Cambria,,,,
13,WB6JWB,224.680000,-,1.600000,Tone,91.5,88.5,023,NN,FM,5.00,,Paso Robles,,,,
14,W6SLO,442.700000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Luis Obispo, Cuesta Peak",,,,
15,W6SLO,444.100000,+,5.000000,Tone,127.3,127.3,023,NN,FM,5.00,,"San Simeon, Rocky Butte",,,,
16,W6FM,444.525000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,"San Luis Obispo, Tassajara Peak",,,,
17,N6SPD,441.650000,+,5.000000,Tone,156.7,156.7,023,NN,FM,5.00,,"King City, Williams Hill",,,,
18,K6LNK,443.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"San Luis Obispo, Tassajara Peak",,,,
19,W6SLO,146.835000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,"Pozo, Black Mountain",,,,
20,K6ACR,440.187500,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"San Luis Obispo, Tassajera Peak",,,,
21,K6LLA,147.240000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Parkfield,,,,
