Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,,146.745000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
2,WR6AOK,147.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
3,,147.180000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
4,,146.835000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
5,,441.900000,+,5.000000,,100.0,88.5,023,NN,FM,25.00,,,,,,
6,,151.375000,,0.600000,Tone,103.5,88.5,023,NN,FM,12.50,,,,,,
7,,443.475000,+,5.000000,Tone,173.8,88.5,023,NN,FM,25.00,,,,,,
8,,145.455000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
9,,146.790000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
10,,147.945000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
11,,146.655000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
12,,146.520000,,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
13,,340.475000,,0.000000,,100.0,88.5,023,NN,FM,12.50,,,,,,
14,,156.700000,,0.600000,,100.0,88.5,023,NN,FM,25.00,,,,,,
15,,799.950000,,0.000000,,100.0,88.5,023,NN,FM,50.00,,,,,,
16,,156.800000,,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
17,,145.120000,-,0.600000,Tone,94.8,88.5,023,NN,FM,12.50,,,,,,
18,,146.850000,-,0.600000,Tone,94.8,88.5,023,NN,FM,12.50,,,,,,
19,,147.240000,+,0.600000,Tone,94.8,88.5,023,NN,FM,12.50,,,,,,
20,,147.090000,+,0.600000,,91.5,88.5,023,NN,FM,25.00,,,,,,
21,,718.250000,,0.000000,,100.0,88.5,023,NN,FM,50.00,,,,,,
22,,145.230000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
24,,145.370000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
25,,146.895000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
26,,442.475000,+,5.000000,Tone,107.2,88.5,023,NN,FM,25.00,,,,,,
27,,147.120000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
28,,440.375000,+,5.000000,Tone,107.2,88.5,023,NN,FM,25.00,,,,,,
29,,443.275000,+,5.000000,Tone,107.2,88.5,023,NN,FM,12.50,,,,,,
30,,134.500000,,0.600000,Tone,94.8,88.5,023,NN,AM,5.00,,,,,,
31,,135.650000,,0.600000,Tone,94.8,88.5,023,NN,AM,25.00,,,,,,
32,,133.950000,,0.600000,Tone,94.8,88.5,023,NN,AM,25.00,,,,,,
33,,135.100000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
34,,135.450000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
35,,130.225000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
36,,121.800000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
37,,120.500000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
38,,119.225000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
39,,119.750000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
40,,147.255000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
41,,147.075000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
42,,124.325000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
43,,129.700000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
44,,119.600000,,0.600000,Tone,103.5,88.5,023,NN,AM,25.00,,,,,,
45,,146.745000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
46,,718.250000,,0.000000,,100.0,88.5,023,NN,FM,50.00,,,,,,
47,,440.275000,+,5.000000,Tone,107.2,88.5,023,NN,FM,25.00,,,,,,
48,,151.375000,,0.600000,Tone,103.5,88.5,023,NN,FM,12.50,,,,,,
49,,154.325000,,0.600000,,100.0,88.5,023,NN,FM,12.50,,,,,,
50,,154.190000,,0.600000,,100.0,88.5,023,NN,FM,12.50,,,,,,
51,,154.055000,,0.600000,,100.0,88.5,023,NN,FM,12.50,,,,,,
52,,155.085000,,0.600000,,100.0,88.5,023,NN,FM,12.50,,,,,,
53,,154.415000,,0.600000,,100.0,88.5,023,NN,FM,12.50,,,,,,
54,,444.875000,+,5.000000,,100.0,88.5,023,NN,FM,25.00,,,,,,
55,,147.150000,+,0.600000,,100.0,88.5,023,NN,FM,5.00,,,,,,
