Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KB0CIM,53.290000,-,1.000000,Tone,146.2,88.5,023,NN,FM,5.00,,Grand Rapids,,,,
2,KB0MM,145.450000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Bemidji,,,,
3,W0BJI,146.730000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Bemidji,,,,
4,K0GPZ,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Grand Rapids, Coleraine",,,,
5,KB0CIM,146.985000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,Cohasset,,,,
6,K0GPZ,147.075000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Marcell,,,,
7,K0GUV,147.300000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Park Rapids,,,,
8,K0NLC,147.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Emmaville, Camp Wilderness Boy Scout Camp",,,,
9,W0BJI,444.025000,+,5.000000,Tone,71.9,88.5,023,NN,FM,5.00,,Bemidji,,,,
10,KB0CIM,444.150000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Cohasset,,,,
11,K0GPZ,444.550000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Grand Rapids,,,,
12,NI0K,444.950000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Bemidji,,,,
13,W0YL,147.240000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Ames,,,,
14,KB0QYC,147.165000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,Coleraine,,,,
15,W0BJI,145.245000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,Bemidji,CQCQCQ,,,0
16,NA0RC,146.790000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Walker,,,,
17,KD0JFI,146.625000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Deer River,,,,
18,KA0WRT,444.900000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Littlefork,,,,
19,N0NKC,146.910000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Big Falls,,,,
